Station Code,Locations,State,Temperature,Dissolved.Oxygen ,pH,Conductivity ,BOD ,Nitrate ,Fecal.Coliform 
1726,"CHANDRAPUR, AGARTALA D/S OF HAORA RIVER, TRIPURA",TRIPURA,27.4,6.6,7.9,189,4.1,1.3,460
1870,RIVER SUKHANA AT PARWANOO,HIMACHAL PRADESH,19.6,5.3,7.4,658,26.6,1.6,82
1871,RIVER MARKANDA AT PAONTA,HIMACHAL PRADESH,21.3,7.7,7.6,337,1.2,0.3,9
1892,NETRAVATHI U/S OF DHARMASTALA AT WATER SUPPLY INTAKE POINT,KARNATAKA,29,6.7,7.2,78,1,0.4,61
2162,ULHAS RIVER ATJAMBHUL WATER WORKS,MAHARASHTRA,27,6.9,7.6,154,3.6,0.8,40
2164,VASHISTI RIVER AT U/S OF THREE M PAPER MILLS ,MAHARASHTRA,23.8,6.9,7.6,240,2.6,0.9,3
2168,MITHI RIVER,MAHARASHTRA,26.3,3.8,7.5,15046,40.8,1.9,570
2198,KUNDALIKA RIVER AT ARE KHURD ,MAHARASHTRA,27.6,6.2,7.5,1748,5.5,1.1,87
2199,SAVITRI RIVER AT OVALE VILLAGE,MAHARASHTRA,28.8,6.5,7.5,10743,17.5,2.9,4
2272,RIVER KUSHAWATI NEAR BUND AT KEVONA,GOA,27.8,6.9,6.6,141,1.2,0.3,1868
2273,RIVER SAL NEAR HOTEL LEELA MOBOR,GOA,29.2,5.8,7.2,118,1.6,0.2,1494
2274,RIVER MAPUSA ON CULVERT ON HIGHWAY MAPUSANANPANAJI,GOA,28.7,5,6.5,259,2,0.2,3122
2275,RIVER CHAPORA NEAR ALORNA FORT,GOA,28,6.9,6.8,351,1.4,0.4,1443
2284,R NEYYAR AT ARUVIPURAM,KERALA,27,7.2,7.2,55,0.6,0.3,353
2285,R MAMOM AT MAMOM BRIDGE,KERALA,27.3,7,7.2,88,0.8,0.3,671
2286,R AYROOR AT AYROOR BRIDGE,KERALA,27.5,6.5,7.1,77,1.2,0.4,812
2287,R ITHIKKARA AT ITHIKKARA,KERALA,24.7,6.3,7.2,3368,1.4,1.1,330
2288,R PALLICKAL AT NELLIMUKAL,KERALA,26.2,6.2,7.2,98,1.1,0.7,250
2289,R KARUVANNURR AT KARUVANNUR BRIDGE,KERALA,29,6.3,6.9,62,1.4,0.5,136
2290,R PUZHACKAL AT PUZHACKAL BRIDGE,KERALA,29.1,4.8,6.8,115,2,0.6,236
2291,R KEECHERI AT VADAKKANCHERY BRIDGE,KERALA,29.5,5.6,7,89,1.9,0.4,204
2292,R THIRUR AT THALAKKADATHUR BRIDGE,KERALA,29.5,4.6,6.8,4300,1.6,0.5,176
2293,R KADALUNDI AT HAJIRAPPALLY,KERALA,29.7,6.7,7,78,1.3,0.2,220
2294,R KALLAI AT KALLAI BRIDGE,KERALA,26.3,3.8,7.5,30264,1.9,0.7,27509
2295,R CORAPUZHA AT KANAYANKODE,KERALA,26.6,5.9,7.3,15178,1.1,0.4,1300
2296,THALLASSERY AT PATHIPPALAM,KERALA,26.2,6.2,6.7,64,1,1.2,182
2297,ANCHARAKANDY AT MERUVAMBA,KERALA,26.6,6.9,6.9,59,1,0.3,132
2298,R KUPPAM AT RAYAROM,KERALA,26,7.7,7,50,1.2,0.3,135
2299,R RAMAPURAM AT RAMAPURAM BRIDGE,KERALA,28.4,4.1,6.7,18387,1.4,0.5,121
2300,PERUVAMBA AT CHANDAPPURA,KERALA,26.8,6.7,6.6,49,1,0.5,111
2301,R KAVVAI AT KUTTIYOL PALAM,KERALA,28,6.2,6.7,66,1.4,0.3,97
2303,R PULLUR AT PULLUR BR.,KERALA,28,6.4,6.3,51,1,0.1,269
2304,R MOGRAL AT MOGRAL BR.,KERALA,29.6,5.7,7.2,20147,1.4,0.4,153
2305,R SHRIYA AT ANGADIMOGARU,KERALA,28.6,7.1,7,65,1.3,0.1,141
2306,R UPPALA AT UPPALA BR,KERALA,29.7,6.5,7.2,15384,1.2,0.5,384
2307,R MANJESWAR AT BAJRAKKARA BR,KERALA,28.6,7,7,88,1.3,0.3,242
2319,ANCHARAKANDY AT MERUVAMBA,KERALA,26.8,6.9,6.8,2989,1.2,0.3,149
2326,R KORAYAR AT KANJIKODE,KERALA,27.4,6.5,8,602,1.1,0.5,633
2331,BHARATHAPUZHA AT KUTTIPPURAM,KERALA,28,6.8,7.5,134,0.8,0.4,544
2332,R BHARATHAPUZHA AT PATTAMBI,KERALA,28,6.8,7.8,202,1.1,0.5,519
2333,PERIYAR AT MUPPATHADAM,KERALA,28,6.6,7.1,74,1.4,0.3,429
2334,RIVER PERIYAR AT PATHALAM,KERALA,27.7,5.9,6.9,1832,2,0.5,558
2335,R PERIYAR AT KALAMASSERY,KERALA,27.7,5.1,6.9,67,2.2,0.3,702
2336,R PERIYAR AT PURAPPALLIKAVU,KERALA,27.9,6.7,7,2335,1.5,0.4,320
2337,KADAMBAYAR AT BRAHMAPURAM,KERALA,27.9,1.8,6.7,217,2.9,1.1,529
2338,KADAMBAYAR AT MANCKAKADAVU,KERALA,27.3,2.3,6.7,83,2.1,0.3,391
2352,"RIVER VAMSHADHARA, KALINGAPATNAM,VIZIANAGARAM",ANDHRA PRADESH,27,5.9,7.8,316,1.1,1.8,4
2422,"NAGAVALLI AT PENTA U/S, JAYKAYPUR TOWN",ODISHA,26.1,7.4,8,208,1.3,1,5264
2653,"BHATSA RIVER AT D/S OF LIBERTY OIL MILLS, SATNEL, SHAHAPUR, THANE",MAHARASHTRA,27.5,6.8,7.8,134,4,0.5,31
2670,"KAN RIVER, NEAR SAKRI WATER WORKS, SAKRI, DHULE.",MAHARASHTRA,24.3,6.1,8,458,3.9,2.5,43
